"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"806298","Child Care Center","Faithful Beginnings Preschool at St. John the Baptist Catholic School","215 Broadway St N","","","Jordan","MN","55352-1401","Scott","(952) 492-2030","Active","The Church of Saint John the Baptist of Jordan, Minn.","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/09/1993","01/01/2026","12/31/2026","   ","",
"2002501","Child Care Center","Falcon Childcare LLC","651 Arcade St","","","Saint Paul","MN","55106     ","Ramsey","(651) 352-2434","Active","Falcon Childcare LLC","67 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/05/2026","08/05/2026","12/31/2026","   ","",
"1115474","Child Care Center","Family Bahur Child Care Center Inc.","4915 Highway 52 N","","","Rochester","MN","55901     ","Olmsted","(507) 206-3525","Active","Family Bahur Child Care Center Inc","49 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/06/2023","01/01/2026","12/31/2026","   ","",
"1084741","Child Care Center","Family Center Preschool","320 Eagle Ave NE","","","Remer","MN","56672-4536","Cass","(218) 566-3636","Active","Northland Area Family Service Center","16 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/11/2017","01/01/2026","12/31/2026","   ","",
"802360","Child Care Center","Family Child Development Center","100 Nathan Ln N","","","Plymouth","MN","55441-6308","Hennepin","","Active","Family Child Development Center","91 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/16/1970","01/01/2026","12/31/2026","   ","",
"1030098","Child Care Center","Family of Christ Child Development Center","16345 Polk St NE","","","Ham Lake","MN","55304-5317","Anoka","","Active","Family of Christ Lutheran Church-Missouri Synod","172","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/07/2004","01/28/2026","12/31/2026","   ","",
"1018196","Child Care Center","Family of Christ Preschool","2020 Coulter Blvd","","","Chanhassen","MN","55317-5300","Carver","(952) 380-9838","Active","Family of Christ Lutheran Church","62 ","Ages Served: Toddlers Preschool","Maximum number of Toddlers or Preschool in Toddler-Puppy classroom is 12.","Services: Day Program","Minnesota Department of Human Services","08/30/2002","01/01/2026","12/31/2026","   ","",
"1105170","Child Care Center","Farmington Head Start","20600 Akin Rd","","","Farmington","MN","55024-9444","Dakota","(651) 322-3535","Active","Scott-Carver-Dakota CAP Agency, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/05/2020","01/01/2026","12/31/2026","   ","",
"1057345","Child Care Center","FHMC Plymouth Inc dba: Foundation Hill Montessori & Childcare","15855 61st Ave N","","","Plymouth","MN","55446-3741","Hennepin","","Closed as of 03/14/2026","FHMC Plymouth Inc.","148","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/03/2010","01/01/2026","12/31/2026","   ","",
"1109455","Child Care Center","First Day Care Center LLC","1433 E Franklin Ave Ste 25","","","Minneapolis","MN","55404     ","Hennepin","(612) 872-8292","Active","First Daycare Center LLC","120","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2022","01/01/2026","12/31/2026","   ","",
"2000286","Child Care Center","First Lutheran Church Childcare","900 Bemidji Ave N","","","Bemidji","MN","56601     ","Beltrami","(218) 444-5303","Active","First Lutheran Church","40 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2026","01/01/2026","12/31/2026","   ","",
"2000167","Child Care Center","First Lutheran Church Community Preschool","1655 18th Ave E","","","Alexandria","MN","56308     ","Douglas","(320) 762-2196","Active","First Lutheran Church","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/03/2024","01/01/2026","12/31/2026","   ","",
"1113964","Child Care Center","First Step Child Care Center LLC","14980 Garrett Ave","","","Apple Valley","MN","55124-7547","Dakota","(952) 388-1250","Active","FirstStep Childcare Center LLC","100","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/01/2022","01/01/2026","12/31/2026","   ","",
"1056907","Child Care Center","First Step Early Childhood Education Center","3036 University Ave SE","","","Minneapolis","MN","55414-3316","Hennepin","(612) 617-0191","Active","FamilyWise Services","38 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","05/19/2010","01/01/2026","12/31/2026","   ","",
"1074352","Child Care Center","First Step Preschool & Childcare LLC","413 Proctor Ave NW","","","Elk River","MN","55330-1845","Sherburne","(763) 241-0328","Active","First Step Preschool & Childcare LLC","137","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/05/2014","01/01/2026","12/31/2026","   ","",
"1067022","Child Care Center","First Steps Academy","3089 25th St NW","","","Rochester","MN","55901-7823","Olmsted","(507) 282-5437","Active","First Steps L.L.C.","97 ","Ages Served: Toddlers Preschool School-Age","Maximum number of school age in the preschool room is two.","Services: Day Program","Minnesota Department of Human Services","01/02/2014","01/01/2026","12/31/2026","   ","",
"1078613","Child Care Center","First Steps Academy","3091 25th St NW","","","Rochester","MN","55901-7823","Olmsted","(507) 282-5437","Active","First Steps L.L.C.","82 ","Ages Served: Infants Toddlers","None","Services: Day Program","Minnesota Department of Human Services","01/04/2016","01/01/2026","12/31/2026","   ","",
"1102480","Child Care Center","First Steps Academy","5450 Royal Pl NW","","","Rochester","MN","55901-1895","Olmsted","(507) 289-5437","Active","First Steps L.L.C.","97 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","02/03/2020","01/01/2026","12/31/2026","   ","",
"1004682","Child Care Center","First Steps Early Learning Center","414 Main St","","","La Crescent","MN","55947-1159","Houston","(507) 895-5704","Active","First Evangelical Lutheran Church","45 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/31/2000","01/01/2026","12/31/2026","   ","",
"1094407","Child Care Center","First Years Academy","583 Cherry Dr","","","Waconia","MN","55387-4578","Carver","(952) 442-4194","Active","First Years Academy Inc.","239","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of Toddlers in the Preschool 1/Proddler classroom is 14.; Maximum number of Infant in the Inf/Tod Combination Toddler 1-Waddler classroom is 12","Services: Day Program","Minnesota Department of Human Services","11/19/2018","01/01/2026","12/31/2026","   ","",
"1097458","Child Care Center","Five Star Academy Inc.","535 Dale St N","","","Saint Paul","MN","55103     ","Ramsey","(612) 315-5679","Active","Five Star Academy, Inc.","44 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/06/2019","04/14/2026","12/31/2026","   ","",
"1080853","Child Care Center","Five Star Early Learning Center LLC","200 E Lyndale Ave N Ste 2","","","Minneapolis","MN","55405-1502","Hennepin","(612) 354-2450","Active","Five Star Early Learning Center LLC","57 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/10/2016","01/01/2026","12/31/2026","   ","",
"2001818","Child Care Center","Five Star Learning Center Inc","651 University Ave W","","","Saint Paul","MN","55104     ","Ramsey","(651) 706-6709","Active","FIVE STAR LEARNING CENTER INC","39 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","08/19/2026","08/19/2026","12/31/2026","   ","",
"2000180","Child Care Center","Flourish Children’s Academy","1015 30th Ave S","","","Moorhead","MN","56560     ","Clay","(218) 512-0409","Active","Flourish Children’s Academy Limited","49 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","06/12/2024","01/01/2026","12/31/2026","   ","",
"1111398","Child Care Center","For Kids Only","13654 Thrush St NW","","","Andover","MN","55304-3782","Anoka","","Active","Lifelong Knowledge, LLC","122","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/31/2022","01/01/2026","12/31/2026","   ","",
"808819","Child Care Center","Forestview Montessori","105 Forestview Ln N","","","Plymouth","MN","55441-5910","Hennepin","(763) 546-1421","Active","Forestview Montessori Inc.","54 ","Ages Served: Toddlers Preschool School-Age","Maximum number of school age children in Children's House 1 and 2 Classrooms combined is five.; Maximum number of school age children in Children's House 1 and 2 Classrooms combined is five.","Services: Day Program","Minnesota Department of Human Services","02/07/1995","01/01/2026","12/31/2026","   ","",
"1050894","Child Care Center","Foundation Hill Montessori Childcare","1750 139th Ln NW","","","Andover","MN","55304-3926","Anoka","","Active","Griffen Business Holdings, Inc.","159","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/02/2008","01/01/2026","12/31/2026","   ","",
"2001744","Child Care Center","Foundations Christian Academy  Pre K","17565 Central Ave NE","","","Ham Lake","MN","55304     ","Anoka","(763) 710-8336","Active","Foundations Christian Academy","10 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/29/2025","03/03/2026","12/31/2026","   ","",
"1059649","Child Care Center","Four Directions","1547 E Lake St Ste 100","","","Minneapolis","MN","55408     ","Hennepin","","Active","The Family Partnership","86 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/11/2011","01/01/2026","12/31/2026","   ","",
"1062849","Child Care Center","Four Square Early Learning Center","17750 Glasgow Ave","","","Lakeville","MN","55044-5327","Dakota","(952) 891-5437","Active","Four Square Early Learning Center, LLC","261","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/04/2012","01/01/2026","12/31/2026","   ","",
"804606","Child Care Center","Fraser Early Childhood Family Development Center","700 Humboldt Ave N","","","Minneapolis","MN","55411-3931","Hennepin","(612) 377-7422","Active","Parents in Community Action, Inc.","236","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"802680","Child Care Center","Fraser School","2400 W 64th St","","","Richfield","MN","55423-1099","Hennepin","(612) 861-1688","Active","Fraser","106","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of infant aged children in the Bees classroom is 4.; Maximum number of preschool aged children in the Frog classroom is 8.; Maximum number of school age children in the Chameleons classroom is four.","Services: Day Program","Minnesota Department of Human Services","08/31/1982","01/01/2026","12/31/2026","   ","",
"802361","Child Care Center","Frassati Catholic Academy","4690 Bald Eagle Ave","","","White Bear Lake","MN","55110-3441","Ramsey","(651) 429-7771","Active","Frassati Catholic Academy","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/06/1990","01/01/2026","12/31/2026","   ","",
"1023991","Child Care Center","Freshwater Learning Center","6683 Laketown Pkwy","","","Waconia","MN","55387     ","Carver","","Active","Freshwater Church of The Christian and Missionary Alliance","114","Ages Served: Infants Toddlers Preschool School-Age","No more than 90 Toddler-School Age children per day, per toilet regulations.","Services: Day Program","Minnesota Department of Human Services","08/31/2004","06/29/2026","12/31/2026","   ","",
"1045573","Child Care Center","Fun Factory Child Care Center LLC","2929 County Road 136","","","Saint Cloud","MN","56301-9017","Stearns","(320) 203-1606","Active","Funfactory Child Care, Inc.","91 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","04/09/2007","01/01/2026","12/31/2026","   ","",
"1118178","Child Care Center","Future Scholars Child Care Center Ltd.","2652 Chicago Ave","","","Minneapolis","MN","55407-3706","Hennepin","(612) 236-4995","Active","Future Scholars Child Care Center Ltd","56 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/08/2023","01/01/2026","12/31/2026","   ","",
"1088506","Child Care Center","Future Scholars Childcare Inc","2652 Chicago Ave","","","Minneapolis","MN","55407-3706","Hennepin","(612) 236-4995","Revoked as of 10/29/2025","Future Scholars Childcare Inc","56 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/25/2017","01/01/2024","12/31/2024","   ","",
"804169","Child Care Center","Gaetz Kiddie Kove","1325 Northway Dr","","","Saint Cloud","MN","56303     ","Stearns","(320) 255-5522","Active","Gaetz Kiddie Kare, Inc.","59 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/30/1991","01/01/2026","12/31/2026","   ","",
"2001801","Child Care Center","Gan Rochester Preschool","3703 Fairway Pl NW","","","Rochester","MN","55901     ","Olmsted","(507) 361-7501","Active","Chabad-Lubavitch of Rochester Jewish Educational & Hospitality Center","51 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/2025","01/01/2026","12/31/2026","   ","",
"810024","Child Care Center","Gan Shelanu Preschool","10500 Hillside Ln W","","","Minnetonka","MN","55305-2630","Hennepin","(952) 545-8694","Active","Adath Jeshurun Congregation","144","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","12/01/1995","01/01/2026","12/31/2026","   ","",
"1099244","Child Care Center","Gardner School of Minneapolis","811 Lasalle Ave Ste 150","","","Minneapolis","MN","55402-2550","Hennepin","","Active","TGS Minneapolis, LLC","160","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/24/2019","01/01/2026","12/31/2026","   ","",
"1111450","Child Care Center","Generations Child Care","3631 Hoffman Rd","","","Mankato","MN","56001-5816","Blue Earth","","Active","Generations Child & Memory Care LLC","55 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/14/2022","08/25/2026","12/31/2026","   ","",
"1101200","Child Care Center","Girasol Montessori School","4800 Ewing Ave S","","","Minneapolis","MN","55410-1748","Hennepin","(952) 222-7605","Active","Girasol Montessori School LLC","40 ","Ages Served: Preschool School-Age","Per state fire marshal, no more than 50 children in care until fire alarm coverage is expanded.","Services: Day Program","Minnesota Department of Human Services","11/18/2019","01/01/2026","12/31/2026","   ","",
"1117547","Child Care Center","Glacial Hills Eaglets Child Care","610 W 6th St","","","Starbuck","MN","56381-9782","Pope","","Active","Glacial Hills Elementary School","22 ","Ages Served: Infant","None","Services: Day Program","Minnesota Department of Human Services","08/28/2023","01/01/2026","12/31/2026","   ","",
"830982","Child Care Center","Glencoe Headstart Center","1400 Elliott Ave N","","","Glencoe","MN","55336     ","McLeod","","Active","United Community Action Partnership, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/02/1999","08/26/2026","12/31/2026","   ","",
"809652","Child Care Center","Glendale Early Childhood Family Development Center","96 Saint Marys Ave SE","","","Minneapolis","MN","55414-3459","Hennepin","(612) 874-7422","Active","Parents in Community Action, Inc.","88 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/02/1995","01/01/2026","12/31/2026","   ","",
"2000064","Child Care Center","God's Treasures Childcare Learning Center","506 W High St","","","Winthrop","MN","55396     ","Sibley","(507) 647-4309","Active","God's Treasures Childcare Learning Center, Inc.","74 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program, Drop-in Child Care Program, School-age Child Care Program","Minnesota Department of Human Services","06/03/2024","01/01/2026","12/31/2026","   ","",
"1088066","Child Care Center","Goddard School","7805 Great Plains Blvd","","","Chanhassen","MN","55317-7915","Carver","(952) 934-3221","Active","Errington Education Inc.","143","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of School Age in the Pre/SA- Eagles classroom is 21.","Services: Day Program","Minnesota Department of Human Services","11/10/2017","01/01/2026","12/31/2026","   ","",
"1035483","Child Care Center","Gods Discovery Kids Preschool","PO Box 22","# 14770 Canada Ave W","","Rosemount","MN","55068     ","Dakota","(651) 423-4127","Active","The Well, a United Methodist Church","91 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/06/2005","01/01/2026","12/31/2026","   ","",
"1110680","Child Care Center","Gold Childcare Center","1622 Central Ave NE Ste B","","","East Grand Forks","MN","56721     ","Polk","(612) 517-4118","Conditional as of 09/12/2025","Gold Childcare Center","60 ","Ages Served: Infants Toddlers Preschool School-Age","Conditional License from 9/12/2025 through 9/12/2027.","Services: Day Program","Minnesota Department of Human Services","05/19/2023","01/01/2026","12/31/2026","   ","",
"2000244","Child Care Center","Golden Childcare LLC","1503 Highway 13 E","","","Burnsville","MN","55337     ","Dakota","(720) 909-2344","Active","Golden childcare LLC","54 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","02/25/2025","01/01/2026","12/31/2026","   ","",
"2001897","Child Care Center","Golden Days & Little Rays Daycare and Activities center","225 3rd Ave","","","Wanamingo","MN","55983     ","Goodhue","(507) 884-9107","Active","Golden Days & Little Rays Daycare and Activities Center LLC","103","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, Drop-in Child Care Program, School-age Child Care Program","Minnesota Department of Human Services","01/12/2026","01/12/2026","12/31/2026","   ","",
"800905","Child Care Center","Golden Heart Child Care Center","1825 Commerce Dr","","","North Mankato","MN","56003-1801","Nicollet","(507) 625-1454","Active","Taylor Corporation","135","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/30/1980","01/01/2026","12/31/2026","   ","",
"2001576","Child Care Center","Golden Years Montessori","4100 W 42nd St","","","Edina","MN","55416     ","Hennepin","(952) 929-4211","Active","Golden Years 2000 Inc","105","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/2026","01/01/2026","12/31/2026","   ","",
"1011053","Child Care Center","Good News Children's Center, Inc.","2645 Broadway Ave N","","","Rochester","MN","55906-3979","Olmsted","(507) 285-1167","Active","Good News Children's Center, Inc.","77 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/07/2001","01/01/2026","12/31/2026","   ","",
"800911","Child Care Center","Good Shepherd Childcare Center","800 Home St","","","Rushford","MN","55971-8836","Fillmore","(507) 864-7714","Active","Good Shepherd Lutheran Services","66 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/01/1985","01/01/2026","12/31/2026","   ","",
"1063603","Child Care Center","Good Shepherd Church & School","151 County Road 42 E","","","Burnsville","MN","55306-5712","Dakota","(952) 432-5527","Active","Good Shepherd Evangelical Lutheran Church & School","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/10/2012","01/01/2026","12/31/2026","   ","",
"810552","Child Care Center","Good Shepherd Preschool","2500 7th Ave NE","","","Owatonna","MN","55060-1488","Steele","(507) 451-6821","Active","Good Shepherd Evangelical Lutheran Church of Owatonna, Minnesota, Inc.","30 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/1996","07/16/2026","12/31/2026","   ","",
"800869","Child Care Center","Grace Beginnings Academy","9301 Eden Prairie Rd","","","Eden Prairie","MN","55347-3903","Hennepin","(952) 224-3110","Active","Grace Church","219","Ages Served: Infants Toddlers Preschool","Maximum number of Toddlers or Preschool in Tod/Pre-Yellow 12 is 14.; Maximum number of Toddlers or Preschool in Tod/Pre- Yellow 13 is 14.","Services: Day Program","Minnesota Department of Human Services","10/06/1989","01/01/2026","12/31/2026","   ","",
"800916","Child Care Center","Grace Neighborhood Nursery School","3400 DuPont Ave S Ste 2","","","Minneapolis","MN","55408     ","Hennepin","(612) 872-8131","Active","Grace Neighborhood Nursery School","66 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/1961","01/01/2026","12/31/2026","   ","",
"1044962","Child Care Center","Great Expectations Child Care","329 5th Ave SE","","","East Grand Forks","MN","56721-2181","Polk","","Closed as of 05/31/2026","Great Expectations Child Care, LLC","82 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/17/2007","01/01/2026","12/31/2026","   ","",
"1074391","Child Care Center","Great Start Montessori School Inc","2000 Merrimac Ln N","","","Plymouth","MN","55447-4698","Hennepin","(763) 553-4000","Active","Great Start Montessori School, Inc.","107","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of toddlers in the Older Toddler/Preschool Room is 23.","Services: Day Program","Minnesota Department of Human Services","10/01/2014","01/01/2026","12/31/2026","   ","",
"1114639","Child Care Center","Green Life CDC","670 Wheelock Pkwy W","","","Saint Paul","MN","55117-4150","Ramsey","(651) 489-8186","Pending Reopening as of 08/30/2025","GREEN Life Child Development Center LLC","45 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/02/2023","01/01/2026","12/31/2026","   ","",
"1121660","Child Care Center","Green Lily Behavioral Health Intensive Child Care Center","2518 N Broadway Ste 120","","","Rochester","MN","55906     ","Olmsted","(507) 884-0383","Active","Green Lily Behavioral Health, LLC","30 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","07/01/2024","01/01/2026","12/31/2026","   ","",
"1104828","Child Care Center","Greenbrier Montessori DBA Rosebay Montessori","3400 Park Ave","","","Minneapolis","MN","55407     ","Hennepin","(612) 314-6424","Active","Greenbrier Montessori LTD","20 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/28/2020","01/01/2026","12/31/2026","   ","",
"1057573","Child Care Center","Grin N Giggles","220 Church Ave","","","Albany","MN","56307-9489","Stearns","","Active","Grin-N-Giggles Child Care Center, LLC","47 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/02/2010","01/01/2026","12/31/2026","   ","",
"1119030","Child Care Center","Grow With Me LLC","12439 Champlin Dr # 103","","","Champlin","MN","55316     ","Hennepin","(763) 337-0605","Active","Grow With Me Limited Liability Company","62 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","02/26/2024","01/01/2026","12/31/2026","   ","",
"1039204","Child Care Center","Grow With Us Childcare Center","2005 2nd St N","","","Princeton","MN","55371-4683","Mille Lacs","(763) 631-2244","Active","Grow With Us Child Care Center, LLC","98 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","02/27/2006","01/01/2026","12/31/2026","   ","",
"1098018","Child Care Center","Growing Explorers Learning Center","158 Jade Trl N","","","Lake Elmo","MN","55042-2606","Washington","(651) 505-4769","Active","Growing Explorers LLC","179","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/07/2019","01/01/2026","12/31/2026","   ","",
"1110476","Child Care Center","Growing Generations Child Development Center Ham Lake","13644 Radisson Rd NE","","","Ham Lake","MN","55304     ","Anoka","(763) 270-5936","Active","Growing Generations Child Development Center Ham Lake Inc.","120","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/15/2021","12/17/2025","12/31/2026","   ","",
"1030931","Child Care Center","Growing in Grace Preschool","410 Main St S","","","Pine City","MN","55063-1658","Pine","(320) 629-3683","Active","Zion Lutheran Church-Missouri Synod","18 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/29/2004","01/01/2026","12/31/2026","   ","",
"1106423","Child Care Center","Growing Tree Montessori, LLC","900 4th St SW","","","Waseca","MN","56093-2556","Waseca","(507) 835-5875","Active","Growing Tree Montessori LLC","73 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school-age in the Preschool/School-Age room is 15 school-age.","Services: Day Program","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"1105778","Child Care Center","Growing with Love LLC","62 W Highway 61","","","Esko","MN","55733-9701","Carlton","(218) 879-2581","Active","Growing with Love, LLC","69 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/05/2020","01/01/2026","12/31/2026","   ","",
"2000255","Child Care Center","Growing With Love, LLC","2801 Dewey Ave","","","Cloquet","MN","55720     ","Carlton","(218) 451-0526","Active","Growing with Love, LLC","24 ","Ages Served: School-Age","None","Services: School-age Child Care Program","Minnesota Department of Human Services","06/10/2024","01/01/2026","12/31/2026","   ","",
"2001748","Child Care Center","Guardian Angels Preschool","217 W 2nd St","","","Chaska","MN","55318     ","Carver","(952) 227-4000","Active","Guardian Angels Catholic Church","30 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/02/2025","01/01/2026","12/31/2026","   ","",
"2001920","Child Care Center","Guiding Light Early Learning Center","400 Franklin St SW","","","Hutchinson","MN","55350     ","McLeod","(320) 296-0123","Active","Guiding Light Early Learning Center","56 ","Ages Served: Toddlers Preschool School-Age","Per State Fire Marshal temporary occupancy granted until September 9,2026.","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","12/08/2025","04/06/2026","12/31/2026","   ","",
"1113287","Child Care Center","HaLev Early Childhood at the J","1375 Saint Paul Ave","","","Saint Paul","MN","55116     ","Ramsey","(651) 255-4760","Active","Minnesota Jewish Community Center","162","Ages Served: Infants Toddlers Preschool","Maximum number of children under the age of 30 months in the Library is 10.; Room 115 is a Toddler/Preschool Combo Classroom.; Room 114 is a Toddler/Preschool Combo Classroom.; Room 112 is an Infant / Toddler Combo Classroom; Maximum number of Toddler Age","Services: Day Program","Minnesota Department of Human Services","01/30/2023","01/01/2026","12/31/2026","   ","",
"801164","Child Care Center","HaLev Early Childhood at the J","4330 Cedar Lake Rd S","","","Saint Louis Park","MN","55416-3700","Hennepin","(952) 381-3445","Active","Minnesota Jewish Community Center","150","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1960","01/01/2026","12/31/2026","   ","",
"1031074","Child Care Center","Hallelujah Childcare Center","4880 Maple Grove Rd","","","Hermantown","MN","55811-3951","St. Louis","(218) 729-1818","Active","Hermantown Community Church of the Assemblies of God","128","Ages Served: Infants Toddlers Preschool School-Age","Not to Exceed 20 preschool age children in the Pre-K/School Age Classroom.","Services: Day Program","Minnesota Department of Human Services","09/14/2004","01/01/2026","12/31/2026","   ","",
"1009807","Child Care Center","Hamilton Head Start","4735 W 123rd St Ste 500","","","Savage","MN","55378     ","Scott","(952) 890-9535","Active","Scott-Carver-Dakota CAP Agency, Inc.","80 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/11/2000","01/01/2026","12/31/2026","   ","",
"2000291","Child Care Center","Hananah Childcare Center, LLC","113 24th Ave S","","","Waite Park","MN","56387     ","Stearns","(320) 472-0950","Active","Hananah Childcare Center, LLC","55 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","05/05/2025","03/02/2026","12/31/2026","   ","",
"800968","Child Care Center","Hand in Hand Child Care Center","1250 Concordia Ave","","","Saint Paul","MN","55104-5479","Ramsey","(651) 641-8491","Active","Concordia University, St. Paul","46 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/01/1982","01/01/2026","12/31/2026","   ","",
"1019442","Child Care Center","Hand in Hand Christian Montessori","211 McCarrons Blvd N","","","Roseville","MN","55113-6923","Ramsey","","Active","Hand in Hand, Christian Montessori Home School Academy","104","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/05/2002","01/01/2026","12/31/2026","   ","",
"1108920","Child Care Center","Hand in Hand Christian Montessori (West Campus)","301 Peavey Ln","","","Wayzata","MN","55391-1524","Hennepin","(952) 300-7860","Active","Hand in Hand, Christian Montessori Home School Academy","108","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/2021","01/01/2026","12/31/2026","   ","",
